,x,y
0,1633283133.609664,131.4175
1,1633283133.757632,131.662
2,1633283133.9179182,131.5569
3,1633283134.1103756,131.2854
4,1633283134.2693393,131.231
5,1633283134.422626,131.2455
6,1633283134.5932045,131.5612
7,1633283134.7602441,131.0618
8,1633283134.9176478,131.213
9,1633283135.0774307,131.4126
10,1633283135.2587218,131.5576
11,1633283135.4212298,131.8543
12,1633283135.5737264,131.5912
13,1633283135.7286823,131.4188
14,1633283135.8894742,131.4666
15,1633283136.0715964,131.6206
16,1633283136.2448702,131.6866
17,1633283136.4113197,131.2825
18,1633283136.5741355,131.2117
19,1633283136.7322898,131.3272
20,1633283136.9417222,131.4587
21,1633283137.1084447,131.2515
22,1633283137.2820475,130.9852
23,1633283137.4520714,131.046
24,1633283137.627138,131.0866
25,1633283137.7881434,131.0169
26,1633283137.9619296,130.9884
27,1633283138.1196969,130.7295
28,1633283138.2694542,130.8896
29,1633283138.4272923,130.888
30,1633283138.5667307,130.9598
31,1633283138.7030427,131.0299
32,1633283138.8638651,130.7066
33,1633283139.0255215,130.7199
34,1633283139.1715624,130.8449
35,1633283139.319525,130.9031
36,1633283139.465294,131.0393
37,1633283139.6117494,130.5884
38,1633283139.7770476,130.5642
39,1633283139.9566886,130.7485
40,1633283140.107337,130.8147
41,1633283140.2529507,130.6791
42,1633283140.4077818,130.3051
43,1633283140.5652974,130.3616
44,1633283140.7168438,130.3277
45,1633283140.881654,130.489
46,1633283141.0484998,130.6212
47,1633283141.2127967,130.0963
48,1633283141.3656287,130.2213
49,1633283141.5111494,130.1533
