,x,y
0,1633283157.222812,128.6925
1,1633283157.365872,128.5899
2,1633283157.5034554,128.7069
3,1633283157.6470902,128.8386
4,1633283157.793715,129.0931
5,1633283157.9648662,128.8633
6,1633283158.1337306,128.7713
7,1633283158.3124247,129.0207
8,1633283158.4572024,129.1602
9,1633283158.613319,129.3341
10,1633283158.8061123,129.1389
11,1633283158.9563766,128.9885
12,1633283159.1051168,129.2063
13,1633283159.251603,129.3124
14,1633283159.412447,129.2886
15,1633283159.5762022,128.8748
16,1633283159.7396164,128.912
17,1633283159.89109,128.8411
18,1633283160.0642054,129.182
19,1633283160.2065008,129.4189
20,1633283160.3749983,129.166
21,1633283160.535281,128.9525
22,1633283160.6741812,128.8435
23,1633283160.8188102,128.8053
24,1633283160.9589233,129.1277
25,1633283161.161056,129.0017
26,1633283161.3132613,128.6202
27,1633283161.4535017,128.6984
28,1633283161.5912545,128.4691
29,1633283161.7272408,128.739
30,1633283161.876538,128.9118
31,1633283162.0480847,128.7413
32,1633283162.19435,128.6485
33,1633283162.3399818,128.592
34,1633283162.5001607,128.8659
35,1633283162.646781,128.8723
36,1633283162.7913923,128.8415
37,1633283162.9364648,128.4031
38,1633283163.0855403,128.4699
39,1633283163.224451,128.4823
40,1633283163.3636556,128.804
41,1633283163.5086446,128.8151
42,1633283163.6523738,128.3953
43,1633283163.8023615,128.2609
44,1633283163.964547,128.2037
45,1633283164.115915,128.6161
46,1633283164.2657676,128.7173
47,1633283164.4333644,128.571
48,1633283164.5852418,128.1304
49,1633283164.72663,128.1255
