,x,y
0,1633283125.9970293,132.2783
1,1633283126.1559167,132.3242
2,1633283126.2970688,132.5149
3,1633283126.4307394,132.4906
4,1633283126.5639522,132.2524
5,1633283126.7432938,132.0835
6,1633283126.8835106,132.1827
7,1633283127.037525,132.2962
8,1633283127.199118,132.4099
9,1633283127.3327708,132.2092
10,1633283127.4815068,132.0981
11,1633283127.6297095,132.1144
12,1633283127.780434,132.2153
13,1633283127.9275491,132.2171
14,1633283128.0700088,132.5021
15,1633283128.2114546,132.4888
16,1633283128.3599093,132.2238
17,1633283128.515993,132.3109
18,1633283128.6620502,132.3914
19,1633283128.8184555,132.7626
20,1633283128.970186,132.8069
21,1633283129.1101446,132.2531
22,1633283129.2640254,132.3761
23,1633283129.4136906,132.3397
24,1633283129.5607564,132.3732
25,1633283129.7011116,132.5822
26,1633283129.8511667,132.1101
27,1633283130.0066295,131.9925
28,1633283130.165567,132.0504
29,1633283130.3250442,131.9926
30,1633283130.4822884,131.9547
31,1633283130.622131,132.0629
32,1633283130.775065,131.5039
33,1633283130.9201367,131.4608
34,1633283131.0721128,131.4468
35,1633283131.2208855,131.7538
36,1633283131.374776,131.6701
37,1633283131.5348194,131.3595
38,1633283131.6804562,131.2877
39,1633283131.845945,131.5352
40,1633283132.0101829,131.6065
41,1633283132.2182028,131.6999
42,1633283132.362113,131.4535
43,1633283132.5385687,131.511
44,1633283132.6936567,131.6496
45,1633283132.8575163,131.5579
46,1633283133.0023327,131.7689
47,1633283133.1478088,131.3925
48,1633283133.2942364,131.2649
49,1633283133.4486217,131.3727
