,x,y
0,1633283172.6092978,125.9684
1,1633283172.7606618,126.1589
2,1633283172.9051914,126.1643
3,1633283173.061471,126.3152
4,1633283173.2165663,126.4097
5,1633283173.3604364,125.9158
6,1633283173.5158505,126.0676
7,1633283173.697068,126.1146
8,1633283173.8485813,126.1767
9,1633283173.994694,126.2228
10,1633283174.1479447,125.9075
11,1633283174.2885735,125.9803
12,1633283174.4409423,126.0687
13,1633283174.605763,126.1737
14,1633283174.7542052,126.3106
15,1633283174.8936622,125.9559
16,1633283175.0322912,126.1335
17,1633283175.1744182,126.181
18,1633283175.30784,126.1786
19,1633283175.4761286,126.4398
20,1633283175.64388,126.1706
21,1633283175.795566,125.8985
22,1633283175.956813,126.1336
23,1633283176.1003654,125.9711
24,1633283176.255105,126.2778
25,1633283176.3967972,125.8407
26,1633283176.5562303,125.6441
27,1633283176.7073362,125.8291
28,1633283176.9110303,125.7384
29,1633283177.0632627,125.9488
30,1633283177.2057593,125.6485
31,1633283177.374438,125.3298
32,1633283177.523278,125.3252
33,1633283177.6790705,125.5653
34,1633283177.843659,125.139
35,1633283178.0114803,125.1169
36,1633283178.165586,125.3194
37,1633283178.3191204,125.6162
38,1633283178.469947,125.6451
39,1633283178.617126,125.8213
40,1633283178.7696855,125.4237
41,1633283178.9208312,125.4138
42,1633283179.071131,125.5295
43,1633283179.211107,125.8416
44,1633283179.3691874,125.9815
45,1633283179.524337,125.8882
46,1633283179.6713731,125.5405
47,1633283179.833335,125.6438
48,1633283179.9962711,125.7203
49,1633283180.1509619,125.7035
