,x,y
0,1635873765.8782222,98.09275898520085
1,1635873765.908246,97.92481501057082
2,1635873765.9422846,97.77906976744185
3,1635873765.9722219,98.12394291754757
4,1635873766.0090258,97.81580338266384
5,1635873766.037458,97.93736786469344
6,1635873766.068259,98.23493657505286
7,1635873766.0722601,98.23493657505286
8,1635873766.1173632,97.9421247357294
9,1635873766.2017984,97.9139799154334
10,1635873766.2118163,97.64072410147992
11,1635873766.2468867,97.62658562367865
12,1635873766.2758443,97.98216173361523
13,1635873766.3116796,97.77788054968288
14,1635873766.340734,98.03250528541226
15,1635873766.3722544,98.11112579281183
16,1635873766.4069693,98.06170718816068
17,1635873766.436135,98.4659090909091
18,1635873766.4401362,98.4659090909091
19,1635873766.511158,98.16966173361523
20,1635873766.5171533,98.03171247357294
21,1635873766.580357,97.97846194503171
22,1635873766.611895,98.09830866807611
23,1635873766.6463223,98.33853065539112
24,1635873766.6751392,97.99497885835095
25,1635873766.7114582,97.95150634249471
26,1635873766.7402794,98.16754756871036
27,1635873766.772326,97.85214059196618
28,1635873766.77636,97.85214059196618
29,1635873766.8265502,97.875
30,1635873766.855968,98.27959830866807
31,1635873766.886653,97.53607293868922
32,1635873766.9161642,97.41146934460888
33,1635873766.980118,97.13913847780127
34,1635873767.0122685,97.2333509513742
35,1635873767.0462766,97.36680761099366
36,1635873767.0762665,97.16503699788584
37,1635873767.1108274,97.46062367864694
38,1635873767.139679,97.58218816067654
39,1635873767.1664577,97.58218816067654
40,1635873767.1904664,97.19741014799155
41,1635873767.219945,97.66754756871036
42,1635873767.2530942,97.30496828752642
43,1635873767.2844992,97.31289640591966
44,1635873767.3157706,97.75118921775899
45,1635873767.3809698,97.2924154334038
46,1635873767.4117234,97.84593023255815
47,1635873767.4436953,97.5068710359408
48,1635873767.4768214,97.53501585623678
49,1635873767.5339515,97.6806289640592
50,1635873767.5379572,97.6806289640592
51,1635873767.5561724,97.37433932346723
52,1635873767.5910633,97.67996828752642
53,1635873767.6190956,97.8078752642706
54,1635873767.6563942,97.46538054968288
55,1635873767.6845758,97.77497357293869
56,1635873767.7198153,97.53818710359408
57,1635873767.7831469,97.12790697674419
58,1635873767.8120453,97.03567653276956
