,x,y
0,1633283149.5719788,129.6736
1,1633283149.7142515,129.9771
2,1633283149.8716478,129.5481
3,1633283150.0304472,129.6278
4,1633283150.1661563,129.6338
5,1633283150.354671,129.8904
6,1633283150.4960377,130.0044
7,1633283150.6403847,129.8083
8,1633283150.828442,129.5415
9,1633283150.9725683,129.5848
10,1633283151.1152408,129.7137
11,1633283151.2599106,129.975
12,1633283151.4145,129.9354
13,1633283151.5667827,129.5649
14,1633283151.707402,129.6351
15,1633283151.8549323,129.5741
16,1633283152.0126884,129.6382
17,1633283152.1451735,129.753
18,1633283152.2882197,129.7904
19,1633283152.4329867,129.0314
20,1633283152.5998945,129.1409
21,1633283152.7432048,129.1836
22,1633283152.902592,129.3618
23,1633283153.0560672,129.4622
24,1633283153.199752,129.0487
25,1633283153.3449976,128.9207
26,1633283153.487321,129.1862
27,1633283153.6387482,129.1113
28,1633283153.8015985,129.284
29,1633283153.9557252,129.2647
30,1633283154.119696,129.0767
31,1633283154.2938035,129.1673
32,1633283154.4414928,129.2827
33,1633283154.583892,129.5034
34,1633283154.7501848,129.5802
35,1633283154.909726,129.2672
36,1633283155.0538743,129.151
37,1633283155.2737775,129.3049
38,1633283155.4162874,129.4036
39,1633283155.5796998,129.3097
40,1633283155.7297673,129.2468
41,1633283155.8810415,129.1018
42,1633283156.0404718,129.3444
43,1633283156.1859858,129.3277
44,1633283156.3291566,129.4022
45,1633283156.4710634,129.1347
46,1633283156.6302128,128.9247
47,1633283156.769876,128.829
48,1633283156.9195023,129.0258
49,1633283157.0730147,129.002
